,text,label,text_length
0,@user @user Why is this even a thing? #lost,3,43
1,who knew magnus bane with teary eyes and trembling lips would be my downfall,3,76
2,"This the way I rage, \n\non sum wopstar shit ⭐️",0,47
3,Happy birthday🎉🎉❤️😘 @user I love and miss you bunches &amp; hope you have an amazing day beautiful!!🌞🌸💗💞,1,104
4,Great game of tennis this one 👌🏻👌🏻🎾 #nervous,1,44
5,@user The little details in life can build up to things that could affect you negatively and eventually make unhappy and lonely.,3,128
6,"@user I’m glad to hear that, Kara. Don’t hesitate to get in touch again if you need to! Cheryl",1,94
7,"Gorkas is angrily unhinged, &amp;lecturing CNN on what?they should cover demanding they go after Hillary Clinton instead of Trump.",0,130
8,"Happy 12th birthday to my Neopet! #retro\nHappy 75th birthday, Harrison Ford! #legendary\nHappy 80th birthday, Krispy Kreme! #delicious",1,135
9,Saddest part about messing up both my legs/ankles? I miss heels. Being a 7fg giant was fun. #sadness,3,100
10,Mayweather's trash talking is on par with Nate Diaz #terrible would love to see McGregor KO him #MayweatherVsMcGregor,0,117
11,"@user no offense but one of my friend watches you and calls you his 'Synpie' which i have no idea why but, he watches your videos",1,129
12,"Nice one #EE  so much for data protection, not impressed that you can talk to someone the opposite sex who guessed my password,",0,127
13,May or may not have just pulled the legal card on these folks. #irritated,0,73
14,When one door closes another one opens #opportunity #growth #optimism,2,69
15,New #madden franchise league on XB1 coming soon Follow &amp; DM if interested full 32 team league 1st 5 help decide rules &amp; rosters,1,135
16,Happy birthday @user ☹,1,22
17,"Whatever you want to do, if you want to be #great at it, you have to #love it and be able to make sacrifices for it. #Quotes for you",2,132
18,I hate these crippling anxiety. :(,3,34
19,@user Too true- my logic was blinded by outrage ......,0,54
20,Nobody *assumed* what role you should play. It was a dream cast. It's not real life. Get over yourself and pipe down. #rage,0,123
21,@user happy birthday big man 👀😂⚽️,1,33
22,And all the bullshit in your live ends and nothing will bother you ever again #depression,3,89
23,House sitting for MIL. Feeding baby @ 3.45 and cat starts scratching at door. Mummy now needs a nappy :S #terrified #NeverAgain #nope,0,133
24,"@user #NCAA is after more money! @user should assign special committee to investigate regulations, policies and #bad practices #point (.)",0,137
25,"@user Goddess, that poor girl 🙁",3,31
26,@user happy birthday mamon!!! 😄,1,31
27,Signs of Incipient Faggotry are the arsehole quivering and puckering.,0,69
28,I love #tattoos but seriously #justtattooofus that's just #revenge &amp; it's #permanent for life not sure it's worth the #5mins of fame 🤔,0,138
29,"Sweet merciful crap that was some bad singing at the #MLBAllStarGame tonight. Anthem and God Bless, both. #wrongnotes #outoftune",0,128
30,@user i know 😰,3,14
31,@user omg.  Who is this nan Hayworth person and where did she come from? Send her back!#sad #bad,3,96
32,That new Kask aero helmet is grim. Especially in yellow. Looks like a safety hard hat ... #TDF #healthandsafety,3,111
33,Fuming with @user always awful customer service given. #fuming #angry #shitservice,0,82
34,"There are parts of you that wants the sadness. Find them out, ask them why",3,74
35,#RepChrisCollins 🎃 #spins #excuses for #hatred #racism Everyone in #America heard #Trump🎃say some #WhiteSupremacists are #GOODpeople ✅MSNBC,0,139
36,"IK to PMLN: 'Darling, I will haunt you in your nightmares, dressed like a dream.' BEST THING EVER. #GameOverNawaz",1,113
37,#broke #sadness who is ready to #donate 5$ for me via paypal ?\nSend it to info2drag@gmail.com\n#humans #help #helpmeout #helpme #donate,3,136
38,"@user beyond a joke! So #furious right now you have left my niece, sister and brother inlaw completely in the dark! Crap customer service",0,137
39,Don't grieve over things so badly..,3,35
40,@user agreed but it had tessie by dropkicks playing outside of gameplay.  #awful,0,80
41,@user What are you going to do to scrub my 19month old daughters eyeballs? #unacceptable  #irreparableharm,0,106
42,"@user ballroom dancing class tomorrow, any advice for a first timer?",1,68
43,Defin @user Worst.Internet.Service.Ever. The cancer of monopolies,0,65
44,@user @user She is Right shld burn them alive 😡 it's even more better if they burn you with ur brothers 😠,0,105
45,You know your (numerous)meds have kicked in when you find stupid things highly amusing #BPDproblems #KeepTalkingMH  #mentalhealth,1,129
46,"Here in South Bend, IN, Quad Cities River Bandits leading the SB Cubs 3-0. Organist v fond of   'Master of the House' from 'Les Miz.' #sadly",3,140
47,"Man, don't believe the hype, this #DJKhaled comp is garbage. #sad #terrible #trumpofhiphop",3,90
48,"@user Oh no, jumper on again, has it turned colder? 😟 Have a terrific day🙋🏼🌸🌼🌻💕💕",1,80
49,@user YES!! I love making my own coffee drinks at home! #super  !!,1,66
50,love to see them interacting 😸🙏 #itsbeensolong #laughing,1,56
51,I forgive everyone. It's rare for me to hold a grudge.,2,54
52,I hate you.\nI want to know how you feel about me though. Because I want you to like me so I can break you.\n#darkerside #revenge #wasteoftime,0,142
53,"@user Bullies, rudeness and littering all make me #mad!",0,55
54,"Jellyfish are turtles' food, turtles that you kill by throwing YOUR plastic wastes in the sea. So don't complain when they sting your ass.",0,138
55,@user 😂😂 i love ur angry comments,1,33
56,mood: kinda bitter bc lee hi didn't appear in jaewon debut mv,0,61
57,I CANT EVEN BREATHE IMM STILL ROLLIN UP THAT CHRONIC 😤,3,54
58,I just remembered I made a presentation of the top 100 male idols out of anger after seeing that siwon was first,0,112
59,﻿Mummy came home and ordered pizza even though there's food in the fridge. I ain't fighting the hypocrisy this time #jalepenos #pine #chicken,1,141
60,A solitary rogue long hair now in my left ear? Its retreating from my head &amp; yet is relentless up my nose? Hair takes the piss...,0,133
61,Just finished playing Mystic Messenger. And I didnt expect the amount of angst in it! 〒▽〒\n #mysticmessenger #feels,2,115
62,Some white folks were jumping in joy when they thought Floyd Mayweather was broke 😂,1,83
63,Karma is real bitch 🖕🏼you can't just be mean and do horrid things without paying the price 😂,0,92
64,anyways Stan Astro i'm goijng to sleep bc i stayed up all night again i lvoe taylor and yoongi Bye,1,98
65,MOMS - NO Dancing at the bus stop... you might embarrass your kid 😂😂#luckytohaveme\n#momonfire #giggles,1,103
66,Frick! @user is hilarious! Lovin his portrayal of a rancher picking up feed bags &amp; climbing over the panel! 😂😂 #peedalittle #laugh,1,134
67,@user OMG poor you! It happened to me last summer. I saw my under skin 😰,3,72
68,@user Why are you making it so hard to return a faulty item. It's not my fault that you sent out an item that doesn't work #fuming,0,130
69,@user @user No she incriminated herself with a multitude of felonies over her 2 1/2 decades of #terror on the US\n#MAGA\n#POTUS45,0,129
70,Nicole: we have to go somewhere warm and tropical\nMe: okay where?\nNicole: Oakland\n\nWhy does no one in my life ever look at a map?? #lost,3,140
